Month, Interest Paid(A), Principal Paid(B), EMI(A+B), Principal Pending
 1, 458.000000, 3356.000000, 3814.000000, 96644.000000 
  2, 443.000000, 3371.000000, 3814.000000, 93273.000000 
  3, 428.000000, 3386.000000, 3814.000000, 89887.000000 
  4, 412.000000, 3402.000000, 3814.000000, 86485.000000 
  5, 396.000000, 3418.000000, 3814.000000, 83067.000000 
  6, 381.000000, 3433.000000, 3814.000000, 79634.000000 
  7, 365.000000, 3449.000000, 3814.000000, 76185.000000 
  8, 349.000000, 3465.000000, 3814.000000, 72720.000000 
  9, 333.000000, 3481.000000, 3814.000000, 69239.000000 
  10, 317.000000, 3497.000000, 3814.000000, 65742.000000 
  11, 301.000000, 3513.000000, 3814.000000, 62229.000000 
  12, 285.000000, 3529.000000, 3814.000000, 58700.000000 
  13, 269.000000, 3545.000000, 3814.000000, 55155.000000 
  14, 253.000000, 3561.000000, 3814.000000, 51594.000000 
  15, 236.000000, 3578.000000, 3814.000000, 48016.000000 
  16, 220.000000, 3594.000000, 3814.000000, 44422.000000 
  17, 204.000000, 3610.000000, 3814.000000, 40812.000000 
  18, 187.000000, 3627.000000, 3814.000000, 37185.000000 
  19, 170.000000, 3644.000000, 3814.000000, 33541.000000 
  20, 154.000000, 3660.000000, 3814.000000, 29881.000000 
  21, 137.000000, 3677.000000, 3814.000000, 26204.000000 
  22, 120.000000, 3694.000000, 3814.000000, 22510.000000 
  23, 103.000000, 3711.000000, 3814.000000, 18799.000000 
  24, 86.000000, 3728.000000, 3814.000000, 15071.000000 
  25, 69.000000, 3745.000000, 3814.000000, 11326.000000 
  26, 52.000000, 3762.000000, 3814.000000, 7564.000000 
  27, 35.000000, 3779.000000, 3814.000000, 3785.000000 
  28, 17.000000, 3797.000000, 3814.000000, -12.000000 
 
