Month, Interest Paid(A), Principal Paid(B), EMI(A+B), Principal Pending
 1, 46.000000, 0.000000, 46.000000, 0.000000 
  2, 46.000000, 1000.000000, 46.000000, 9000.000000 
  3, 46.000000, 0.000000, 46.000000, 9000.000000 
  4, 46.000000, 0.000000, 46.000000, 9000.000000 
  5, 46.000000, 0.000000, 46.000000, 9000.000000 
  6, 46.000000, 0.000000, 46.000000, 9000.000000 
  7, 46.000000, 0.000000, 46.000000, 9000.000000 
  8, 46.000000, 0.000000, 46.000000, 9000.000000 
  9, 46.000000, 0.000000, 46.000000, 9000.000000 
  10, 46.000000, 0.000000, 46.000000, 9000.000000 
  11, 46.000000, 0.000000, 46.000000, 9000.000000 
  12, 46.000000, 0.000000, 46.000000, 9000.000000 
  13, 46.000000, 0.000000, 46.000000, 9000.000000 
  14, 46.000000, 0.000000, 46.000000, 9000.000000 
  15, 46.000000, 0.000000, 46.000000, 9000.000000 
  16, 46.000000, 0.000000, 46.000000, 9000.000000 
  17, 46.000000, 0.000000, 46.000000, 9000.000000 
  18, 46.000000, 0.000000, 46.000000, 9000.000000 
  19, 46.000000, 0.000000, 46.000000, 9000.000000 
  20, 46.000000, 0.000000, 46.000000, 9000.000000 
  21, 46.000000, 0.000000, 46.000000, 9000.000000 
  22, 46.000000, 0.000000, 46.000000, 9000.000000 
  23, 46.000000, 0.000000, 46.000000, 9000.000000 
  24, 46.000000, 0.000000, 46.000000, 9000.000000 
  25, 46.000000, 0.000000, 46.000000, 9000.000000 
  26, 46.000000, 0.000000, 46.000000, 9000.000000 
  27, 46.000000, 0.000000, 46.000000, 9000.000000 
  28, 46.000000, 0.000000, 46.000000, 9000.000000 
 
