Month, Interest Paid(A), Principal Paid(B), EMI(A+B), Principal Pending
 1, 46.000000, 0.000000, 46.000000, 10000.000000 
  2, 46.000000, 0.000000, 46.000000, 10000.000000 
  3, 46.000000, 0.000000, 46.000000, 10000.000000 
  4, 46.000000, 0.000000, 46.000000, 10000.000000 
  5, 46.000000, 0.000000, 46.000000, 10000.000000 
  6, 46.000000, 5000.000000, 46.000000, 5000.000000 
  7, 23.000000, 1000.000000, 23.000000, 4000.000000 
  8, 19.000000, 1000.000000, 19.000000, 3000.000000 
  9, 14.000000, 0.000000, 14.000000, 3000.000000 
  10, 14.000000, 0.000000, 14.000000, 3000.000000 
  11, 14.000000, 0.000000, 14.000000, 3000.000000 
  12, 14.000000, 0.000000, 14.000000, 3000.000000 
  13, 14.000000, 0.000000, 14.000000, 3000.000000 
  14, 14.000000, 0.000000, 14.000000, 3000.000000 
  15, 14.000000, 0.000000, 14.000000, 3000.000000 
  16, 14.000000, 0.000000, 14.000000, 3000.000000 
  17, 14.000000, 0.000000, 14.000000, 3000.000000 
  18, 14.000000, 0.000000, 14.000000, 3000.000000 
  19, 14.000000, 0.000000, 14.000000, 3000.000000 
  20, 14.000000, 0.000000, 14.000000, 3000.000000 
  21, 14.000000, 0.000000, 14.000000, 3000.000000 
  22, 14.000000, 0.000000, 14.000000, 3000.000000 
  23, 14.000000, 1000.000000, 14.000000, 2000.000000 
  24, 9.000000, 1000.000000, 9.000000, 1000.000000 
  25, 5.000000, 0.000000, 5.000000, 1000.000000 
  26, 5.000000, 0.000000, 5.000000, 1000.000000 
  27, 5.000000, 0.000000, 5.000000, 1000.000000 
  28, 5.000000, 0.000000, 5.000000, 1000.000000 
  29, 5.000000, 0.000000, 5.000000, 1000.000000 
 
